Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Block_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2019-20,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331010,KODUMUDI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331014,NAMBIYUR,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331015,PERUNDURAI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI-ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,1,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331014,NAMBIYUR,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3310,ERODE,331015,PERUNDURAI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331016,SATHIYAMANGALAM,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI-ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",6,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",6,None,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
2019-20,33,Tamilnadu,3310,ERODE,331004,"BHAVANI SAGAR",24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",6,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",6,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",6,None,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
2019-20,33,Tamilnadu,3310,ERODE,331010,KODUMUDI,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",6,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331016,SATHIYAMANGALAM,24,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",6,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,3,"B.Ed. or equivalent",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,3,"B.Ed. or equivalent",0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,3,"B.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331012,MODAKURICHI,24,"Private Unaided (Recognized)",2,"UPS (I-VIII)",6,M.Phil,3,"B.Ed. or equivalent",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,4,"M.Ed. or equivalent",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331004,"BHAVANI SAGAR",24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,6,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",6,M.Phil,6,None,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,24,"Private Unaided (Recognized)",1,"PS (I-V)",7,Ph.D,3,"B.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",1,"Below Secondary",6,None,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",3,"Higher secondary",3,"B.Ed. or equivalent",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",3,"Higher secondary",5,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",3,"Higher secondary",5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331015,PERUNDURAI,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",3,"Higher secondary",5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3310,ERODE,331015,PERUNDURAI,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",4,Graduate,5,Others,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",3,"B.Ed. or equivalent",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",5,"Post graduate",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",5,"Post graduate",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",2,"UPS (I-VIII)",5,"Post graduate",3,"B.Ed. or equivalent",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,25,"Private Unaided (Recognized)",1,"PS (I-V)",5,"Post graduate",5,Others,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,33,Tamilnadu,3310,ERODE,331004,"BHAVANI SAGAR",29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,9,3,6
2019-20,33,Tamilnadu,3310,ERODE,331012,MODAKURICHI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",6,"SS (I-X)",1,"Below Secondary",5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",6,None,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331012,MODAKURICHI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",6,None,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331016,SATHIYAMANGALAM,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",1,"Below Secondary",6,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,29,"Private Unaided (Recognized)",6,"SS (I-X)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331015,PERUNDURAI,29,"Private Unaided (Recognized)",6,"SS (I-X)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331012,MODAKURICHI,29,"Private Unaided (Recognized)",1,"PS (I-V)",3,"Higher secondary",5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331004,"BHAVANI SAGAR",29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",3,"Higher secondary",5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",5,Others,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,7,6,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",5,Others,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,6,2,4
2019-20,33,Tamilnadu,3310,ERODE,331012,MODAKURICHI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",5,Others,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331018,"THUCKANAICKEN PALAYAM",29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",5,Others,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",6,"SS (I-X)",4,Graduate,5,Others,0,0,0,0,0,1,3,3,0,0,0,0,0,5,0,0,0,0,12,3,9
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",6,"SS (I-X)",3,"Higher secondary",5,Others,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331004,"BHAVANI SAGAR",29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",3,"Higher secondary",6,None,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,4,0,4
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",6,None,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",3,"Higher secondary",6,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,3
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,12,0,12
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3310,ERODE,331012,MODAKURICHI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331018,"THUCKANAICKEN PALAYAM",29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,29,"Private Unaided (Recognized)",6,"SS (I-X)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331015,PERUNDURAI,29,"Private Unaided (Recognized)",6,"SS (I-X)",4,Graduate,1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6,1,5
2019-20,33,Tamilnadu,3310,ERODE,331004,"BHAVANI SAGAR",29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,7,1,6
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,29,"Private Unaided (Recognized)",2,"UPS (I-VIII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,8
2019-20,33,Tamilnadu,3310,ERODE,331003,BHAVANI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",0,1,0,0,0,7,1,5,0,0,0,0,3,0,1,0,0,0,18,5,13
2019-20,33,Tamilnadu,3310,ERODE,331005,CHENNIMALAI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,8,2,6
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",0,1,0,1,0,15,10,29,1,5,0,1,1,7,0,0,0,2,73,12,61
2019-20,33,Tamilnadu,3310,ERODE,331008,GOBI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3310,ERODE,331012,MODAKURICHI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",1,1,0,0,0,3,2,5,0,1,0,1,0,0,2,0,1,1,18,6,12
2019-20,33,Tamilnadu,3310,ERODE,331015,PERUNDURAI,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,1,5,11,0,0,0,2,0,1,0,0,0,0,20,5,15
2019-20,33,Tamilnadu,3310,ERODE,331016,SATHIYAMANGALAM,29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",0,2,0,0,0,3,0,3,0,1,0,4,0,2,1,1,0,0,17,1,16
2019-20,33,Tamilnadu,3310,ERODE,331018,"THUCKANAICKEN PALAYAM",29,"Private Unaided (Recognized)",3,"HSS (I-XII)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,0,3,12,0,1,0,0,0,0,0,0,0,0,16,3,13
2019-20,33,Tamilnadu,3310,ERODE,331007,ERODE,29,"Private Unaided (Recognized)",6,"SS (I-X)",4,Graduate,3,"B.Ed. or equivalent",0,0,0,0,0,8,0,5,0,5,0,2,0,6,0,0,0,0,26,0,26
